ProductCode,ProductCategory,ProductName,BrandCode,,,,,,,,,,,,,,,,,,,,,,
363,Appetiser,Oriental Salad in Special Vinegar Dressing,201,,,,,,,,,,,,,,,,,,,,,,
364,Appetiser,Fragrant Pork with Crushed Garlic,201,,,,,,,,,,,,,,,,,,,,,,
365,Appetiser,Green Chillies with Marinated Stuffed Minced Meat,201,,,,,,,,,,,,,,,,,,,,,,
366,Appetiser,Sliced Duck in Crispy Spring Onion Pastry,201,,,,,,,,,,,,,,,,,,,,,,
367,Appetiser,Steamed Pork Dumplings,201,,,,,,,,,,,,,,,,,,,,,,
368,Appetiser,Steamed Vegetable & Pork Dumplings,201,,,,,,,,,,,,,,,,,,,,,,
369,Appetiser,Truffle Xiao Long Bao,201,,,,,,,,,,,,,,,,,,,,,,
370,Appetiser,Steamed Angled Gourd & Shrimp Dumpling,201,,,,,,,,,,,,,,,,,,,,,,
371,Soup,Steamed Chicken Soup,201,,,,,,,,,,,,,,,,,,,,,,
372,Soup,Hot & Sour Soup,201,,,,,,,,,,,,,,,,,,,,,,
373,Noodle,Special Braised Beef Noodle Soup with Beef Brisket,201,,,,,,,,,,,,,,,,,,,,,,
374,Noodle,Noodle Soup with Fried Pork Chop,201,,,,,,,,,,,,,,,,,,,,,,
375,Noodle,Noodle with Spicy Sauce,201,,,,,,,,,,,,,,,,,,,,,,
376,Rice,Fried Rice with Shrimps & Eggs,201,,,,,,,,,,,,,,,,,,,,,,
377,Noodle,Noodle with Minced Pork in Bean Sauce,201,,,,,,,,,,,,,,,,,,,,,,
378,Appetiser,Steamed Chilli Crab and Pork Buns,201,,,,,,,,,,,,,,,,,,,,,,
379,Appetiser,Steamed Red Bean Paste Buns,201,,,,,,,,,,,,,,,,,,,,,,
380,Appetiser,Steamed Yam Paste Dumplings,201,,,,,,,,,,,,,,,,,,,,,,
381,Appetiser,Steamed Chinese Style Layer Cakes,201,,,,,,,,,,,,,,,,,,,,,,
382,Desserts,Double-Boiled Papaya & Snow Fungus with Rock Sugar,201,,,,,,,,,,,,,,,,,,,,,,
383,Desserts,Lemongrass Juice,201,,,,,,,,,,,,,,,,,,,,,,
384,Desserts,Roselle Drink,201,,,,,,,,,,,,,,,,,,,,,,
385,Desserts,Mango Pudding,201,,,,,,,,,,,,,,,,,,,,,,
319,Noodle,Wen Wen Handmade Yong Tau Foo,202,,,,,,,,,,,,,,,,,,,,,,
320,Noodle,Brisket King Beef Noodle,202,,,,,,,,,,,,,,,,,,,,,,
321,Korean,Kimchi Xpress,202,,,,,,,,,,,,,,,,,,,,,,
322,Indonesian,Makan Bagus Indonesian Cuisine,202,,,,,,,,,,,,,,,,,,,,,,
323,Salad,Saladicious,202,,,,,,,,,,,,,,,,,,,,,,
324,Chinese,Bu Er Xin Handmade Bao,202,,,,,,,,,,,,,,,,,,,,,,
325,Asian,Asian Fusion Kueh,202,,,,,,,,,,,,,,,,,,,,,,
326,Noodle,Thye Hong Fried Hokkien Mee,202,,,,,,,,,,,,,,,,,,,,,,
327,Noodle,Mian Mian Ju Dao (Formosa Delights),202,,,,,,,,,,,,,,,,,,,,,,
328,Noodle,Gu Zao Mian,202,,,,,,,,,,,,,,,,,,,,,,
329,Noodle,Chinatown Beef Noodle,202,,,,,,,,,,,,,,,,,,,,,,
330,Indian,Saravanna Bhavan Indian Vegetarian,202,,,,,,,,,,,,,,,,,,,,,,
331,Vietnam,Little Hanoi Noodle Bar,202,,,,,,,,,,,,,,,,,,,,,,
332,Chinese,You Men HK Roast,202,,,,,,,,,,,,,,,,,,,,,,
333,Thai,Royal Thai Kitchen,202,,,,,,,,,,,,,,,,,,,,,,
334,Indonesian,Penyet & BBQ,202,,,,,,,,,,,,,,,,,,,,,,
335,Noodle,Qiu Lian Ban Mian,202,,,,,,,,,,,,,,,,,,,,,,
336,Noodle,Original Fish Village,202,,,,,,,,,,,,,,,,,,,,,,
337,Noodle,Li Xin Teochew Fishball Noodles,202,,,,,,,,,,,,,,,,,,,,,,
338,Noodle,Formosa Delights,202,,,,,,,,,,,,,,,,,,,,,,
339,Chinese,Thunder Tea Rice,202,,,,,,,,,,,,,,,,,,,,,,
340,Japanese,Fish Eden,202,,,,,,,,,,,,,,,,,,,,,,
341,Japanese,Miso Japanese,202,,,,,,,,,,,,,,,,,,,,,,
342,Korean,Hyangtogol Korean,202,,,,,,,,,,,,,,,,,,,,,,
343,Indonesian,Indonesian Padang,202,,,,,,,,,,,,,,,,,,,,,,
344,Chinese,Fu Lin Tofu Yuen,202,,,,,,,,,,,,,,,,,,,,,,
345,Chinese,Li Xin Teochew Fishball Noodle,202,,,,,,,,,,,,,,,,,,,,,,
346,Indonesian,Dapur Padang,202,,,,,,,,,,,,,,,,,,,,,,
347,Drink,Toast Box Nanyang Kopi,203,,,,,,,,,,,,,,,,,,,,,,
348,Bread,Peanut Butter Thick Toast,203,,,,,,,,,,,,,,,,,,,,,,
349,Noodle,Asian Delight - Laksa,203,,,,,,,,,,,,,,,,,,,,,,
350,Noodle,Curry Chicken,203,,,,,,,,,,,,,,,,,,,,,,
351,Bread,Ice Cream Thick Toast,203,,,,,,,,,,,,,,,,,,,,,,
352,Drink,Zesty Drinks,203,,,,,,,,,,,,,,,,,,,,,,
353,Others,Hainanese Kaya,203,,,,,,,,,,,,,,,,,,,,,,
354,Noodle,Bee Hoon Goreng,203,,,,,,,,,,,,,,,,,,,,,,
355,Rice,Nasi Lemak,203,,,,,,,,,,,,,,,,,,,,,,
356,Noodle,Mee Siam,203,,,,,,,,,,,,,,,,,,,,,,
357,Noodle,Mee Rebus,203,,,,,,,,,,,,,,,,,,,,,,
358,Noodle,Tom Yam Egg Noodle,203,,,,,,,,,,,,,,,,,,,,,,
359,Cake,Peanut Butter ,203,,,,,,,,,,,,,,,,,,,,,,
360,Cake,Strawberry,203,,,,,,,,,,,,,,,,,,,,,,
361,Cake,Chocolate,203,,,,,,,,,,,,,,,,,,,,,,
362,Cake,Vanilla,203,,,,,,,,,,,,,,,,,,,,,,
386,Noodle,Sanpou Tonkotsu Ramen,204,,,,,,,,,,,,,,,,,,,,,,
387,Noodle,Pork Yakiniku Ramen,204,,,,,,,,,,,,,,,,,,,,,,
388,Rice,Butariki Ishinabe,204,,,,,,,,,,,,,,,,,,,,,,
389,Rice,Cha Shu Don Set,204,,,,,,,,,,,,,,,,,,,,,,
390,Rice,Pork Yakiniku Don Set,204,,,,,,,,,,,,,,,,,,,,,,
391,Rice,Teriyaki Chicken Don Set,204,,,,,,,,,,,,,,,,,,,,,,
392,Rice,Tori Momo Don Set,204,,,,,,,,,,,,,,,,,,,,,,
393,Rice,Pork/Chicken Katsu Curry Don Set,204,,,,,,,,,,,,,,,,,,,,,,
394,Appetiser,Okura Mentai,204,,,,,,,,,,,,,,,,,,,,,,
395,Appetiser,RamenPlay Bamboo Chicken,204,,,,,,,,,,,,,,,,,,,,,,
396,Appetiser,Ramenplay Crispy Dango,204,,,,,,,,,,,,,,,,,,,,,,
397,Desserts,Green Tea Milkshake,204,,,,,,,,,,,,,,,,,,,,,,
398,Desserts,Yuzu Yoghurt,204,,,,,,,,,,,,,,,,,,,,,,
399,Cake,Berries&Cheese,205,,,,,,,,,,,,,,,,,,,,,,
400,Cake,Black Forest,205,,,,,,,,,,,,,,,,,,,,,,
401,Cake,Coffee Indulgence,205,,,,,,,,,,,,,,,,,,,,,,
402,Cake,Dark Chocolate Souffle,205,,,,,,,,,,,,,,,,,,,,,,
403,Cake,Matcha Garden,205,,,,,,,,,,,,,,,,,,,,,,
404,Cake,Oreo Carnival,205,,,,,,,,,,,,,,,,,,,,,,
405,Cake,Peanut Butter Addiction,205,,,,,,,,,,,,,,,,,,,,,,
406,Cake,Salted Caramel Dream,205,,,,,,,,,,,,,,,,,,,,,,
407,Cake,Strawberry Shortcake,205,,,,,,,,,,,,,,,,,,,,,,
408,Cake,Angel's Dream,205,,,,,,,,,,,,,,,,,,,,,,
409,Cake,Choco Castle,205,,,,,,,,,,,,,,,,,,,,,,
410,Cake,DIY Cake,205,,,,,,,,,,,,,,,,,,,,,,
301,Bread,Onion&Cheese,206,,,,,,,,,,,,,,,,,,,,,,
302,Bread,Road Hog,206,,,,,,,,,,,,,,,,,,,,,,
303,Bread,Ikan Bilis,206,,,,,,,,,,,,,,,,,,,,,,
304,Bread,Curry Dozo,206,,,,,,,,,,,,,,,,,,,,,,
305,Bread,Milky Dome,206,,,,,,,,,,,,,,,,,,,,,,
306,Bread,Spinacheese,206,,,,,,,,,,,,,,,,,,,,,,
307,Bread,Floss,206,,,,,,,,,,,,,,,,,,,,,,
308,Bread,Fire Floss,206,,,,,,,,,,,,,,,,,,,,,,
309,Bread,Smart Alack,206,,,,,,,,,,,,,,,,,,,,,,
310,Cake,Strawberry Chantilly,206,,,,,,,,,,,,,,,,,,,,,,
311,Cake,Salted Caramel Surprise,206,,,,,,,,,,,,,,,,,,,,,,
312,Cake,Chocolate Fudge Soffle,206,,,,,,,,,,,,,,,,,,,,,,
313,Cake,Cheesecake Originale,206,,,,,,,,,,,,,,,,,,,,,,
314,Cake,Oreo Cheese,206,,,,,,,,,,,,,,,,,,,,,,
315,Cake,Kopi Konnoisseur,206,,,,,,,,,,,,,,,,,,,,,,
316,Cake,Azuki Macha,206,,,,,,,,,,,,,,,,,,,,,,
317,Cake,Peanut Butter Better,206,,,,,,,,,,,,,,,,,,,,,,
318,Cake,Black Forest,206,,,,,,,,,,,,,,,,,,,,,,
